ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Courier_ID
74,F,Ship,4,5,215,3,medium,F,21,3984,1,Courier_2
75,A,Ship,6,1,238,6,low,F,13,2442,1,Courier_5
76,B,Ship,4,1,266,3,low,F,23,3775,1,Courier_2
77,C,Ship,2,3,158,2,medium,F,36,1788,1,Courier_1
78,F,Ship,3,3,113,3,low,F,43,1518,1,Courier_4
79,D,Ship,3,4,223,3,low,M,18,3959,1,Courier_4
80,F,Ship,3,5,257,2,medium,F,56,3711,1,Courier_4
81,A,Ship,3,4,180,2,medium,F,49,1942,1,Courier_5
82,B,Ship,2,5,132,3,low,M,18,1759,1,Courier_1
83,C,Ship,4,4,217,3,high,F,26,2875,1,Courier_5
84,F,Ship,5,5,162,3,high,F,31,1364,1,Courier_5
85,D,Ship,4,5,197,2,medium,F,40,2710,1,Courier_1
86,F,Ship,3,4,197,3,medium,M,13,2148,1,Courier_1
87,A,Ship,4,1,185,2,low,M,44,2910,1,Courier_1
88,B,Ship,6,2,278,3,medium,F,3,2974,1,Courier_1
89,C,Ship,3,3,229,3,low,M,49,2339,1,Courier_4
90,F,Ship,4,1,186,4,medium,F,57,3880,1,Courier_3
91,D,Ship,5,3,174,6,high,F,41,1085,1,Courier_3
92,F,Ship,5,5,286,3,low,F,18,3163,1,Courier_1
93,A,Ship,4,4,175,2,medium,F,7,1188,1,Courier_3
94,B,Ship,3,3,219,3,medium,F,17,3387,1,Courier_3
95,C,Ship,4,1,213,4,high,F,35,2343,1,Courier_1
96,F,Ship,2,3,235,3,low,M,57,2034,1,Courier_3
97,D,Ship,3,3,149,2,medium,M,18,1225,1,Courier_5
98,F,Ship,4,1,271,2,medium,F,8,2401,1,Courier_2
99,A,Ship,3,5,144,4,medium,M,5,1104,1,Courier_2
100,B,Ship,4,2,145,2,medium,M,21,1617,1,Courier_1
101,C,Ship,5,3,143,2,medium,M,59,1837,1,Courier_4
102,F,Ship,5,5,227,4,low,M,53,2624,1,Courier_1
103,D,Ship,2,1,213,3,low,M,29,2732,1,Courier_4
104,F,Ship,5,1,144,4,low,M,37,1658,1,Courier_2
105,A,Ship,3,3,218,3,low,M,3,2255,1,Courier_1
106,B,Ship,4,2,144,3,medium,M,59,1588,1,Courier_5
107,C,Ship,3,1,238,3,low,M,17,2624,1,Courier_3
108,F,Ship,4,5,216,3,high,M,26,2053,1,Courier_4
109,D,Ship,4,5,238,3,high,F,55,3257,1,Courier_3
110,F,Ship,4,1,141,3,medium,M,47,1250,1,Courier_3
111,A,Road,3,1,158,2,low,M,2,1284,1,Courier_1
112,B,Road,4,2,239,3,low,F,65,3679,1,Courier_3
113,C,Road,4,3,175,2,low,M,25,1816,1,Courier_5
114,F,Road,3,2,263,3,low,M,41,2817,1,Courier_3
115,D,Road,3,5,168,2,high,M,50,1616,1,Courier_1
116,F,Road,3,4,176,3,high,M,36,1779,1,Courier_5
117,A,Road,4,1,150,4,high,M,60,1024,1,Courier_2
118,B,Road,4,3,265,2,medium,F,31,2326,1,Courier_3
119,C,Road,2,5,263,3,low,F,5,2947,1,Courier_1
120,F,Road,5,1,145,3,low,M,20,1387,1,Courier_2
121,D,Road,4,2,183,3,low,F,33,2741,1,Courier_2
122,F,Road,3,3,205,3,medium,F,19,2167,1,Courier_4
123,A,Road,4,2,160,3,low,M,64,1714,1,Courier_5
124,B,Road,3,3,252,2,medium,F,48,2102,1,Courier_3
125,C,Road,5,5,222,3,low,M,10,2280,1,Courier_1
126,F,Road,3,3,203,2,low,M,25,3607,1,Courier_4
127,D,Road,4,5,220,3,medium,M,40,3516,1,Courier_5
128,F,Road,3,3,147,4,low,F,60,1722,1,Courier_4
129,A,Road,4,4,200,4,medium,M,16,2060,1,Courier_5
130,B,Road,4,5,224,4,medium,M,21,2026,1,Courier_5
131,C,Road,3,5,179,2,low,F,17,1364,1,Courier_3
132,F,Road,3,4,144,3,low,M,50,1865,1,Courier_5
133,D,Flight,5,2,247,3,low,M,17,3889,1,Courier_4
134,F,Flight,5,4,280,6,medium,F,51,3582,1,Courier_5
135,A,Flight,3,3,168,2,medium,F,1,1829,1,Courier_3
136,B,Flight,3,5,157,3,medium,F,4,1889,1,Courier_3
137,C,Flight,3,3,189,4,medium,F,51,2208,1,Courier_4
138,F,Flight,3,5,162,2,medium,M,7,1739,1,Courier_2
139,D,Flight,4,1,207,5,low,M,48,2399,1,Courier_2
140,F,Flight,5,1,237,2,low,F,10,3860,1,Courier_5
141,A,Flight,4,4,264,3,high,M,59,2020,1,Courier_1
142,B,Flight,5,4,149,3,low,M,51,1645,1,Courier_5
143,C,Flight,5,5,162,3,low,M,41,1462,1,Courier_4
144,F,Flight,2,1,205,4,medium,F,63,2156,1,Courier_4
145,D,Flight,2,1,158,3,medium,F,51,1540,1,Courier_4
146,F,Flight,2,2,248,2,low,M,46,3707,1,Courier_4
147,A,Flight,3,5,191,3,low,M,23,3750,1,Courier_4
148,B,Flight,4,3,146,4,medium,F,24,1844,1,Courier_3
149,C,Flight,3,3,135,3,low,M,56,1490,1,Courier_2
150,F,Flight,5,1,149,3,low,M,40,1062,1,Courier_4
151,D,Flight,4,4,220,2,medium,F,7,2551,1,Courier_1
152,F,Flight,5,3,98,5,medium,M,44,1269,1,Courier_1
153,A,Flight,3,4,97,4,low,M,32,1238,1,Courier_1
154,B,Flight,3,3,183,2,low,M,53,3932,1,Courier_1
155,C,Ship,3,3,162,3,medium,F,8,1869,1,Courier_3
156,F,Ship,5,1,114,4,low,F,47,1443,1,Courier_1
157,D,Ship,6,3,275,5,low,M,41,2491,1,Courier_4
158,F,Ship,3,2,203,2,medium,F,39,3845,1,Courier_5
159,A,Ship,5,5,205,2,high,M,65,3671,1,Courier_1
160,B,Ship,3,3,149,3,low,F,63,1946,1,Courier_3
161,C,Ship,2,2,112,4,medium,M,56,1138,1,Courier_3
162,F,Ship,3,1,207,3,medium,F,56,3482,1,Courier_1
163,D,Ship,4,1,261,4,low,F,58,3427,1,Courier_5
164,F,Ship,5,2,274,3,medium,M,6,3375,1,Courier_1
165,A,Ship,3,5,141,2,low,M,52,1692,1,Courier_3
166,B,Ship,3,3,166,4,medium,F,17,1498,1,Courier_2
167,C,Ship,5,2,141,3,high,F,34,1020,1,Courier_4
168,F,Ship,4,5,152,3,low,M,43,1709,1,Courier_3
169,D,Ship,4,2,250,3,low,F,53,2478,1,Courier_1
170,F,Ship,4,3,161,3,medium,F,28,1809,1,Courier_4
171,A,Ship,4,3,185,3,medium,F,10,2263,1,Courier_1
172,B,Ship,4,4,176,4,high,F,52,1096,1,Courier_1
173,C,Ship,3,4,148,3,low,M,56,1550,1,Courier_2
174,F,Ship,3,2,270,3,low,F,63,2751,1,Courier_4
175,D,Ship,3,3,242,3,low,F,51,3935,1,Courier_4
176,F,Ship,4,4,150,2,medium,M,3,1285,1,Courier_2
177,A,Ship,4,5,192,3,high,M,20,3872,1,Courier_3
178,B,Ship,4,5,116,3,medium,M,54,1314,1,Courier_1
179,C,Ship,3,3,192,3,medium,F,2,3995,1,Courier_5
180,F,Ship,5,5,255,4,medium,M,3,3440,1,Courier_1
181,D,Ship,4,1,161,7,medium,F,18,1294,1,Courier_1
182,F,Ship,4,5,157,3,low,M,20,1487,1,Courier_3
183,A,Ship,3,2,164,10,high,F,28,1940,1,Courier_1
184,B,Ship,3,5,162,7,medium,F,16,1052,1,Courier_2
185,C,Ship,3,3,146,2,low,M,50,1486,1,Courier_2
186,F,Ship,3,2,209,3,medium,M,54,3001,1,Courier_4
187,D,Ship,5,4,134,2,medium,F,55,1386,1,Courier_5
188,F,Ship,2,1,222,2,medium,M,5,3778,1,Courier_1
189,A,Ship,2,5,139,3,low,F,27,1233,1,Courier_1
190,B,Ship,2,4,134,3,low,F,42,1415,1,Courier_3
191,C,Ship,2,5,130,3,low,M,16,1092,1,Courier_2
192,F,Ship,2,5,133,3,low,F,62,1596,1,Courier_5
193,D,Ship,2,4,140,3,low,F,7,1411,1,Courier_4
194,F,Ship,2,2,158,3,low,M,28,1968,1,Courier_2
195,A,Ship,4,2,270,4,low,F,46,1736,1,Courier_4
196,B,Ship,2,5,140,3,low,F,30,1030,1,Courier_3
197,C,Ship,2,2,135,3,low,M,15,1339,1,Courier_3
198,F,Ship,2,3,136,3,low,F,19,1568,1,Courier_1
199,D,Ship,2,3,142,3,medium,F,38,7640,1,Courier_5
200,F,Ship,2,2,154,3,medium,M,38,7846,1,Courier_4
201,A,Ship,2,3,139,3,low,M,9,1471,1,Courier_2
202,B,Ship,2,3,160,3,low,F,43,1251,1,Courier_3
203,C,Ship,2,4,134,3,low,M,58,1067,1,Courier_1
204,F,Ship,5,3,161,5,high,M,48,1883,1,Courier_1
205,D,Ship,2,5,155,3,low,M,23,1602,1,Courier_4
206,F,Ship,2,3,145,3,medium,F,24,7588,1,Courier_3
207,A,Ship,2,2,157,3,low,M,1,1477,1,Courier_5
208,B,Ship,2,2,160,3,low,M,48,1691,1,Courier_3
209,C,Ship,2,4,152,3,low,M,55,1498,1,Courier_4
210,F,Ship,2,5,148,3,high,F,11,1502,1,Courier_4
211,D,Ship,2,1,127,3,low,F,15,1522,1,Courier_3
212,F,Ship,2,5,154,3,low,F,21,1113,1,Courier_4
213,A,Ship,2,5,127,3,low,M,44,1341,1,Courier_3
214,B,Ship,2,5,160,3,medium,F,31,7401,1,Courier_2
215,C,Ship,2,4,129,3,low,F,48,1219,1,Courier_3
216,F,Ship,2,5,158,3,low,F,40,1722,1,Courier_3
217,D,Ship,4,3,185,3,medium,M,3,3131,1,Courier_4
218,F,Ship,4,4,176,4,high,F,63,1293,1,Courier_4
219,A,Ship,3,4,148,3,low,M,37,1523,1,Courier_1
220,B,Ship,3,5,270,3,low,M,60,3885,1,Courier_1
221,C,Ship,3,4,242,3,low,M,29,2381,1,Courier_2
222,F,Ship,4,3,150,2,medium,M,31,1588,1,Courier_1
223,D,Ship,4,2,192,3,high,M,4,2061,1,Courier_3
224,F,Ship,4,5,116,3,medium,F,9,1314,1,Courier_4
225,A,Ship,3,4,192,3,medium,F,31,3331,1,Courier_1
226,B,Ship,5,4,255,4,medium,F,38,2771,1,Courier_1
227,C,Ship,4,3,161,7,medium,M,63,1496,1,Courier_2
228,F,Ship,4,2,157,3,low,F,48,1393,1,Courier_2
229,D,Ship,3,2,164,10,high,M,14,1375,1,Courier_3
230,F,Ship,3,3,162,7,medium,F,42,1278,1,Courier_4
231,A,Ship,3,1,146,2,low,F,54,1528,1,Courier_2
232,B,Ship,3,4,209,3,medium,F,60,2240,1,Courier_1
233,C,Ship,5,5,134,2,medium,M,53,1088,1,Courier_4
234,F,Ship,2,1,222,2,medium,M,58,3626,1,Courier_4
235,D,Ship,2,1,139,3,low,F,39,1582,1,Courier_1
236,F,Ship,2,2,134,3,low,M,38,1352,1,Courier_2
237,A,Ship,2,3,130,3,low,F,48,1801,1,Courier_1
238,B,Ship,2,2,133,3,low,M,5,1268,1,Courier_4
239,C,Ship,2,3,140,3,low,F,23,1372,1,Courier_5
240,F,Ship,2,3,158,3,low,M,10,1515,1,Courier_5
241,D,Ship,4,5,270,4,low,M,65,1818,1,Courier_3
242,F,Ship,2,4,140,3,low,F,33,1278,1,Courier_1
243,A,Ship,2,2,135,3,low,M,58,1734,1,Courier_1
244,B,Ship,2,4,136,3,low,M,43,1958,1,Courier_3
245,C,Ship,2,1,142,3,medium,F,8,6064,1,Courier_3
246,F,Ship,2,4,154,3,medium,F,48,7684,1,Courier_3
247,D,Ship,2,3,139,3,low,F,3,1788,1,Courier_4
248,F,Road,2,4,160,3,low,F,50,1030,1,Courier_1
249,A,Road,2,2,134,3,low,F,38,1530,1,Courier_4
250,B,Road,5,5,161,5,high,F,54,1511,1,Courier_3
251,C,Road,2,3,155,3,low,F,45,1639,1,Courier_1
252,F,Road,2,2,145,3,medium,F,5,6102,1,Courier_4
253,D,Road,2,1,157,3,low,M,58,1930,1,Courier_4
254,F,Road,2,5,160,3,low,F,19,1399,1,Courier_3
255,A,Road,2,2,152,3,low,F,61,1800,1,Courier_1
256,B,Road,2,2,148,3,high,F,35,1349,1,Courier_3
257,C,Road,2,2,127,3,low,M,13,1128,1,Courier_1
258,F,Road,2,2,129,3,medium,F,22,6614,1,Courier_5
259,D,Road,2,3,158,3,low,F,13,1245,1,Courier_2
260,F,Road,2,4,147,3,low,M,5,1920,1,Courier_2
261,A,Road,2,5,159,3,low,F,49,1621,1,Courier_2
262,B,Road,2,3,151,3,low,F,23,1930,1,Courier_3
263,C,Road,3,1,294,4,low,F,52,1089,1,Courier_5
264,F,Road,3,2,226,2,medium,M,45,1446,1,Courier_1
265,D,Road,5,3,271,5,high,M,9,1813,1,Courier_4
266,F,Road,7,2,203,5,medium,F,61,1856,1,Courier_1
267,A,Road,2,3,264,4,low,F,10,1648,1,Courier_4
268,B,Road,4,1,258,3,medium,M,36,2211,1,Courier_1
269,C,Road,3,5,241,3,low,F,21,3078,1,Courier_5
270,F,Flight,4,5,208,3,medium,M,23,2056,1,Courier_4
271,D,Flight,3,2,209,5,medium,F,12,3054,1,Courier_3
272,F,Flight,5,1,182,2,medium,F,23,2707,1,Courier_1
273,A,Flight,4,5,148,2,medium,F,43,1087,1,Courier_1
274,B,Flight,2,3,183,2,medium,F,52,3199,1,Courier_4
275,C,Flight,3,5,229,6,medium,M,22,2717,1,Courier_3
276,F,Flight,5,5,115,5,low,F,26,1692,1,Courier_3
277,D,Flight,4,2,136,3,low,F,65,1962,1,Courier_5
278,F,Flight,4,4,212,3,low,M,21,3307,1,Courier_3
279,A,Flight,4,3,171,3,low,F,24,1304,1,Courier_3
280,B,Flight,3,1,151,2,low,M,60,1925,1,Courier_3
281,C,Flight,3,1,205,3,medium,M,39,3062,1,Courier_2
282,F,Flight,5,4,147,3,medium,M,23,1132,1,Courier_5
283,D,Flight,3,3,155,3,low,F,29,1712,1,Courier_1
284,F,Flight,5,4,165,3,low,F,20,1150,1,Courier_4
285,A,Flight,5,5,230,3,low,F,32,3249,1,Courier_1
286,B,Flight,2,4,181,4,medium,M,13,2309,1,Courier_5
287,C,Flight,5,3,234,2,low,F,55,3308,1,Courier_4
288,F,Flight,4,4,149,3,low,M,34,1977,1,Courier_5
289,D,Flight,5,5,156,2,low,M,44,1561,1,Courier_3
290,F,Flight,4,2,172,3,medium,F,59,1858,1,Courier_4
291,A,Flight,4,4,270,3,low,M,12,3279,1,Courier_3
292,B,Ship,4,1,206,3,medium,M,23,3807,1,Courier_1
293,C,Ship,4,3,211,4,medium,M,40,3106,1,Courier_1
294,F,Ship,3,2,136,4,low,M,62,1090,1,Courier_4
295,D,Ship,5,1,186,2,high,F,52,3981,1,Courier_4
296,F,Ship,3,1,202,2,medium,M,62,3398,1,Courier_5
297,A,Ship,4,2,183,3,medium,F,12,3646,1,Courier_5
298,B,Ship,4,4,232,2,low,M,36,2861,1,Courier_3
299,C,Ship,4,2,147,4,medium,M,52,1129,1,Courier_4
300,F,Ship,4,3,136,3,medium,M,20,1531,1,Courier_1
301,D,Ship,5,3,127,3,low,F,43,1446,1,Courier_5
302,F,Ship,4,5,202,2,medium,M,35,3695,1,Courier_5
303,A,Ship,3,4,241,2,low,M,57,3671,1,Courier_1
304,B,Ship,4,3,222,2,medium,M,55,3833,1,Courier_5
305,C,Ship,3,2,183,4,medium,F,12,2777,1,Courier_3
306,F,Ship,4,4,249,3,medium,F,36,3769,1,Courier_4
307,D,Ship,3,1,243,4,high,M,59,3838,1,Courier_1
308,F,Ship,3,3,163,3,medium,M,9,1257,1,Courier_4
309,A,Ship,4,2,165,2,high,M,11,1596,1,Courier_5
310,B,Ship,5,5,266,3,medium,F,53,3089,1,Courier_5
311,C,Ship,3,4,193,2,medium,M,48,3909,1,Courier_1
312,F,Ship,3,2,154,3,low,F,56,1136,1,Courier_3
313,D,Ship,3,3,140,3,medium,M,51,1046,1,Courier_2
314,F,Ship,4,3,272,3,medium,M,38,3705,1,Courier_1
315,A,Ship,4,2,143,6,medium,M,20,1654,1,Courier_2
316,B,Ship,4,2,138,3,low,F,30,1805,1,Courier_2
317,C,Ship,4,2,238,2,high,M,17,3358,1,Courier_3
318,F,Ship,4,5,273,4,medium,F,31,2373,1,Courier_2
319,D,Ship,3,1,200,2,medium,M,27,2551,1,Courier_2
320,F,Ship,4,5,213,4,low,M,39,2381,1,Courier_3
321,A,Ship,3,4,224,2,medium,F,15,2701,1,Courier_2
322,B,Ship,4,5,141,3,medium,M,12,1672,1,Courier_2
323,C,Ship,3,3,150,3,low,M,46,1040,1,Courier_2
324,F,Ship,3,1,192,2,low,M,33,2818,1,Courier_1
325,D,Ship,5,1,279,4,medium,F,24,3440,1,Courier_1
326,F,Ship,3,4,246,3,medium,M,30,3748,1,Courier_1
327,A,Ship,3,4,173,3,medium,M,52,1587,1,Courier_3
328,B,Ship,4,4,233,4,medium,F,59,2358,1,Courier_5
329,C,Ship,5,1,274,2,medium,M,24,2423,1,Courier_2
330,F,Ship,4,5,243,4,medium,F,41,2782,1,Courier_2
331,D,Ship,3,4,197,3,medium,F,56,3427,1,Courier_3
332,F,Ship,4,3,140,3,high,F,46,1072,1,Courier_2
333,A,Ship,3,5,215,3,medium,F,22,2585,1,Courier_1
334,B,Ship,3,4,211,3,medium,M,8,3710,1,Courier_5
335,C,Ship,4,2,220,5,low,M,33,2854,1,Courier_4
336,F,Ship,3,1,194,4,low,M,64,2026,1,Courier_2
337,D,Ship,5,1,262,3,medium,F,58,3599,1,Courier_1
338,F,Ship,4,4,201,2,low,F,1,3147,1,Courier_4
339,A,Ship,3,5,261,3,medium,M,15,2989,1,Courier_5
340,B,Ship,4,4,191,6,low,F,60,3425,1,Courier_4
341,C,Ship,2,5,255,5,medium,F,53,3775,1,Courier_1
342,F,Ship,3,2,169,2,high,M,30,1698,1,Courier_4
343,D,Ship,4,5,162,2,medium,M,64,1918,1,Courier_3
344,F,Ship,2,5,248,6,low,F,62,2750,1,Courier_4
345,A,Ship,5,3,197,4,low,F,2,2222,1,Courier_2
346,B,Ship,5,1,264,3,low,M,6,2882,1,Courier_2
347,C,Ship,5,5,260,2,medium,F,55,2791,1,Courier_3
348,F,Ship,5,3,186,2,medium,F,58,2259,1,Courier_1
349,D,Ship,4,5,233,4,low,F,44,2551,1,Courier_2
350,F,Ship,5,1,161,3,low,M,47,1954,1,Courier_5
351,A,Ship,4,5,188,3,low,F,13,2409,1,Courier_2
352,B,Ship,5,5,171,2,medium,F,22,1695,1,Courier_2
353,C,Ship,2,2,267,3,medium,M,15,2481,1,Courier_1
354,F,Ship,4,3,255,2,high,M,47,2956,1,Courier_4
355,D,Ship,3,2,132,3,low,F,56,1303,1,Courier_2
356,F,Ship,5,1,266,3,low,F,31,3157,1,Courier_3
357,A,Ship,3,4,198,2,low,M,25,2774,1,Courier_4
358,B,Ship,2,3,247,2,medium,F,62,3127,1,Courier_5
359,C,Ship,3,1,140,3,medium,F,65,1291,1,Courier_1
360,F,Ship,4,3,131,5,low,M,6,1659,1,Courier_5
361,D,Ship,5,2,246,3,medium,M,49,3236,1,Courier_4
362,F,Ship,3,2,159,3,medium,F,4,1681,1,Courier_4
363,A,Ship,3,5,203,2,medium,M,61,3642,1,Courier_4
364,B,Ship,4,3,187,4,high,F,29,3141,1,Courier_5
365,C,Ship,6,2,146,3,low,F,62,1936,1,Courier_4
366,F,Ship,3,2,234,3,medium,M,39,2099,1,Courier_5
367,D,Ship,3,4,122,3,high,F,15,1354,1,Courier_4
368,F,Ship,3,3,135,3,low,M,8,1074,1,Courier_3
369,A,Ship,3,5,103,3,low,M,3,1403,1,Courier_4
370,B,Ship,3,5,257,3,medium,F,19,2173,1,Courier_5
371,C,Ship,4,3,169,2,low,M,2,1399,1,Courier_2
372,F,Ship,4,5,159,3,medium,M,18,1808,1,Courier_4
373,D,Ship,4,5,188,3,low,M,38,3031,1,Courier_2
374,F,Ship,5,1,136,3,medium,M,19,1420,1,Courier_3
375,A,Ship,5,1,227,3,low,F,19,3007,1,Courier_1
376,B,Ship,3,5,262,2,low,F,53,3275,1,Courier_3
377,C,Ship,2,3,157,2,low,M,45,1965,1,Courier_4
378,F,Ship,5,3,238,2,medium,F,21,2053,1,Courier_2
379,D,Ship,3,5,152,3,low,M,43,1282,1,Courier_2
380,F,Ship,3,2,201,3,medium,M,5,2040,1,Courier_5
381,A,Ship,3,4,148,2,low,M,54,1778,1,Courier_2
382,B,Ship,5,2,199,4,low,F,59,2885,1,Courier_5
383,C,Ship,5,4,215,2,low,F,45,3501,1,Courier_1
384,F,Ship,4,5,175,2,low,M,40,1270,1,Courier_4
385,D,Road,4,3,236,2,high,M,23,3123,1,Courier_5
386,F,Road,2,5,182,2,medium,F,57,2896,1,Courier_1
387,A,Road,3,1,251,3,medium,M,42,3698,1,Courier_2
388,B,Road,5,2,173,3,low,F,7,1855,1,Courier_2
389,C,Road,4,3,225,3,low,F,62,2587,1,Courier_1
390,F,Road,4,2,167,4,low,F,20,1705,1,Courier_2
391,D,Road,4,1,259,3,low,M,20,2154,1,Courier_1
392,F,Road,4,1,178,3,medium,F,63,1573,1,Courier_5
393,A,Road,4,4,178,4,medium,F,13,1614,1,Courier_5
394,B,Road,5,4,169,2,low,F,20,1765,1,Courier_1
395,C,Road,3,2,272,2,low,M,33,2321,1,Courier_5
396,F,Road,4,4,183,3,low,M,29,3251,1,Courier_5
397,D,Road,3,4,205,3,low,F,10,2728,1,Courier_5
398,F,Road,2,1,123,4,low,F,53,1036,1,Courier_3
399,A,Road,4,3,152,3,low,M,58,1453,1,Courier_4
400,B,Road,3,1,220,2,high,F,40,3773,1,Courier_2
401,C,Road,4,3,134,3,low,M,51,1965,1,Courier_3
402,F,Road,3,2,217,2,high,M,19,2992,1,Courier_5
403,D,Road,3,2,265,3,low,F,49,2791,1,Courier_1
404,F,Road,4,2,249,5,medium,M,36,3836,1,Courier_5
405,A,Road,5,3,213,4,medium,F,50,2003,1,Courier_4
406,B,Road,2,2,124,3,low,F,56,1494,1,Courier_5
407,C,Flight,4,1,180,2,low,M,23,1193,1,Courier_1
408,F,Flight,4,5,193,3,medium,M,65,2267,1,Courier_4
409,D,Flight,3,2,192,3,medium,M,43,3339,1,Courier_5
410,F,Flight,2,5,166,3,medium,M,3,1832,1,Courier_4
411,A,Flight,3,2,264,3,medium,M,5,3861,1,Courier_2
412,B,Flight,3,4,200,2,medium,M,14,3528,1,Courier_2
413,C,Flight,4,3,142,4,medium,M,12,1396,1,Courier_5
414,F,Flight,4,1,215,2,low,M,32,3066,1,Courier_4
